시군구,업태,주메뉴,업소명,소재지,전화번호 ,비고
중구,한식,막창,5시5막창팩토리,울산광역시 중구 곽남1길 26 지상1층 (남외동),052-297-8288,
중구,탕류(보신용),삼계탕/전복삼계탕/전복죽,궁중삼계탕,울산광역시 중구 먹자거리 6 (성남동),052-244-1156,
중구,복어취급,복국/매운탕/복수육/복불고기,진화복국,울산광역시 중구 함월6길 5-9 (성안동),052-211-4644,
중구,한식,어탕국수/황태찜/회,지리산어탕국수,울산광역시 중구 함월6길 5-3 (성안동),052-245-6677,
중구,한식,삼겹살,생생왕소금구이,울산광역시 중구 곽남길 11 (약사동),052-296-6677,
중구,한식,장어구이,금강장어구이,울산광역시 중구 산전길 8-1 지상2.3층 (남외동),052-297-9205,
중구,한식,목살구이,다운목살구이식당,울산광역시 중구 운곡안길 9 (다운동),052-224-7979,
중구,한식,황태해장국/생태찌개,강원도해장국,울산광역시 중구 북부순환도로 864 (서동),052-294-9400,
중구,복어취급,복회/복샤브샤브,대가복집,울산광역시 중구 신기5길 9 (태화동),052-245-2666,
중구,한식,닭갈비/철판볶음밥,유가네닭갈비,울산광역시 중구 젊음의거리 42 (성남동),052-212-3392,
중구,식육(숯불구이),돼지갈비/삼겹살,강터참숯불집,울산광역시 중구 내오산로 3-1 (태화동),052-249-1799,
중구,한식,돌솥정식/영양갈비찜,외갓집,울산광역시 중구 옥골샘2길 5 (학산동),052-246-2352,
중구,한식,오리불고기/백숙,황토방가든,울산광역시 중구 성동1길 74 (성안동),052-243-7500,
중구,한식,돼지갈비/삼겹살,금강산숯불생고기,울산광역시 중구 반구정14길 17 (반구동),052-292-1746,
중구,한식,짬뽕(돼지+낙지)/낙지볶음/닭볶음탕,병영나들목,울산광역시 중구 산전길 7 지상2층 (남외동),052-281-0833,
중구,한식,돼지갈비/삼겹살,초원숯불갈비,울산광역시 중구 젊음의1거리 15 (성남동),052-243-5419,
중구,한식,오리불고기/장어구이,솔밭가든,울산광역시 중구 함월20길 65 (성안동 외1필지),052-243-5292,
중구,분식,메밀국수,메밀꽃필무렵,울산광역시 중구 내오산로 35 (태화동),052-224-2434,
중구,한식,갈비살/꽃등심/생오리숯불구이,고운정,울산광역시 중구 성안15길 63 (성안동),052-248-5292,
중구,한식,굴국밥/생굴회,김명자굴국밥성안점,울산광역시 중구 성안로 148 (성안동),052-243-9970,
중구,한식,삼겹살/돼지갈비,대박터숯불촌,울산광역시 중구 구교로 52 (학산동),052-285-2070,
중구,한식,삼계탕/백숙,장수삼계탕,울산광역시 중구 계변로 69 (복산동),052-282-9282,
중구,한식,삼계탕/오리불고기/오리탕,계성,울산광역시 중구 함월1길 24 (성안동),052-243-3535,
중구,분식,옹심이칼국수/감자전/감자송편,옹심이칼국수,울산광역시 중구 백양로 182 (성안동),052-243-1121,
중구,분식,냉면,물참면옥,울산광역시 중구 함월17길 26 (성안동),052-243-3390,
중구,한식,동태탕/황태찜,김영희강남동태찜,울산광역시 중구 백양로 88 지상1층 (성안동),052-248-1007,
중구,한식,삼겹살/쌈밥,목토숯불갈비,울산광역시 중구 해오름8길 65 (남외동 (지상1층)),052-298-9592,
중구,회집,생선회,대어,울산광역시 중구 함월로 11 A동 (성안동),052-243-7886,
중구,뷔페식,뷔페,동천컨벤션,울산광역시 중구 염포로 55 (남외동 남외운동장내),052-282-3000,
중구,한식,뼈다귀해장국/감자탕,조마루뼈다귀,울산광역시 중구 번영로 549 (약사동),052-285-2220,
중구,한식,돼지고기구이,천금,울산광역시 중구 성안로 267 (성안동 (1층)),052-242-0456,
중구,한식,민물장어/간장게장,풍천가,울산광역시 중구 남외2길 26 2층 (남외동),052-286-0592,
중구,한식,오리불고기/오리백숙,성안감나무집,울산광역시 중구 성동길 88 1층 (성안동),052-243-5656,
중구,기타,닭갈비,춘천참나무숯불닭갈비,울산광역시 중구 종가8길 26 4층 (복산동),052-294-9077,
중구,냉면집,냉면,청한옥,울산광역시 중구 종가8길 35 2층 (복산동),052-294-3007,
남구,한식,고래고기요리,소라고래집,울산광역시 남구 장생포고래로 241 지상12층 (매암동),052-261-2661,
남구,한식,전복요리,해수전복(울산점),울산광역시 남구 돋질로 37 (신정동(지상1층)),052-269-1522,
남구,한식,고래수육/고래요리,청해고래전문점,울산광역시 남구 장생포고래로 247-1 (매암동지상1층),052-269-5153,
남구,한식,비빔밥,함양집 1호점,울산광역시 남구 중앙로208번길 12 (신정동지하1 지상12층),052-275-6947,
남구,한식,한정식,차일품,울산광역시 남구 화합로178번길 13 (지상 23층 (삼산동),052-227-1571,
남구,식육(숯불구이),소고기숯불구이,진상가든,울산광역시 남구 왕생로 38 (달동),052-274-7800,
남구,경양식,돈까스,가무댕댕,울산광역시 남구 대학로94번길 11 (무거동),052-224-3331,
남구,경양식,피자/스테이크,(주)트레비브로이,울산광역시 남구 삼산중로 46 (삼산동),052-258-0101,
남구,한식,해장국,감자골감자탕,울산광역시 남구 달삼로 62 (달동지상1층),052-260-7997,
남구,한식,한정식,이조한정식,울산광역시 남구 삼산로77번길 25 (달동),052-258-9000,
남구,복어취급,복국,구희락복국,울산광역시 남구 두왕로322번길 22 (신정동),052-274-4934,
남구,한식,고등어쌈정식,육부촌,울산광역시 남구 삼산로55번길 19 지상1층 (신정동),052-269-2577,
남구,식육(숯불구이),갈비/생삼겹살,물레가든,울산광역시 남구 왕생로 70 (달동),052-268-5555,
남구,한식,한식/참치요리,비송참치,울산광역시 남구 정동로80번길 21 (삼산동),052-258-5295,
남구,한식,소고기/돼지고기/육회,도동참숯화로,울산광역시 남구 왕생로 33 (달동(지상1층)),052-261-8507,
남구,일식,정식,코코로 롯데백화점 울산점,울산광역시 남구 삼산로 288 (삼산동),052-960-5518,
남구,일식,생선회/생선초밥/장어구이,일식와사비,울산광역시 남구 정동로 117 (삼산동),052-271-3600,
남구,탕류(보신용),대구탕,해운대신대구탕,울산광역시 남구 삼산로199번길 9 (달동(지상1층)),052-265-1132,
남구,한식,곰탕,진곰탕,울산광역시 남구 번영로150번길 24 1층 (달동),052-257-6981,
남구,회집,초밥/회,어궁참가자미횟집,울산광역시 남구 달삼로23번길 14 (달동지상1층),052-260-6565,
남구,한식,전복죽/파전/옥삼주,옥삼집,울산광역시 남구 월평로21번길 13 1층 (신정동),052-266-4373,
남구,일식,초밥/회,다미헌,울산광역시 남구 화합로 178 지상2층 (삼산동),052-269-8634,
남구,일식,생선회,서정횟집,울산광역시 남구 신정로33번길 26 (달동번지(지상1층)),052-276-1994,
남구,분식,냉면/갈비탕,함경면옥,울산광역시 남구 돋질로183번길 24 (신정동번지(지상1층)),052-269-3200,
남구,한식,오리숯불구이,김이장오리마을,울산광역시 남구 거마로14번길 2 (옥동지상 2층),052-258-5289,
남구,일식,회코스/물회/참치/대구탕,바다바라기,울산광역시 남구 돋질로 378 지상 1층 (삼산동),052-267-5300,
남구,식육(숯불구이),삼겹살구이,맛찬들왕소금구이울산삼산점,울산광역시 남구 돋질로302번길 27-1 (삼산동번지 외 1필지),052-275-9813,
남구,한식,주꾸미돌솥밥정식,달동쭈꾸미,울산광역시 남구 삼산로 141 (달동지상2층),052-222-9201,
남구,식육(숯불구이),흑염소구이,군불로,울산광역시 남구 삼산중로 8 달동1층 (달동),052-227-2766,
남구,한식,한정식/코스요리,경복궁울산점(주)엔타스,울산광역시 남구 산업로 595 23층 (삼산동),052-274-7727,
남구,일식,복어요리,김수사,울산광역시 남구 남중로94번길 4 (삼산동 (지상2층)),052-273-1900,
남구,중국식,중식코스요리,만리장성,울산광역시 남구 문수로480번길 7 (신정동번지 외 4필지(지상2층)),052-291-0002,
남구,한식,비빔밥/묵채,우시산함양집,울산광역시 남구 삼산로228번길 19 (달동번지(지상1층)),052-260-9060,
남구,한식,돼지국밥/돈다리탕,합천돼지국밥,울산광역시 남구 남중로108번길 36 (삼산동번지(지상1층)),052-227-1189,
남구,일식,일식코스요리,삿뽀로울산점(주)엔타스,울산광역시 남구 산업로 595 23층 (삼산동),052-267-7727,
남구,분식,칼국수/파전/만두,정칼국수,울산광역시 남구 왕생로62번길 11 (달동(지상 1 2층)),052-258-0220,
남구,회집,참치회/생선회,미소참치,울산광역시 남구 왕생로36번길 25 (지상 1층 (달동),052-266-9199,
남구,한식,두부찌게,콩&콩리,울산광역시 남구 돋질로239번길 4-18 1층 (달동),052-273-1885,
남구,기타,물회/생선회,고빈정 물회,울산광역시 남구 왕생로100번길 9 (달동번지(지상1층)),052-258-0807,
남구,회집,가자미회,정자참가자미,울산광역시 남구 왕생로45번길 3 (달동번지(지상1층)),052-222-8814,
남구,한식,한정식코스요리,수라간,울산광역시 남구 삼산로 273 (삼산동번지(지상16층)),052-245-3937,
남구,한식,국수/만두,산더미국수,울산광역시 남구 두왕로 277 2층 (신정동),052-269-2688,
남구,경양식,파스타,썸원스키친,울산광역시 남구 돋질로239번길 34 (삼산동),052-256-3520,
남구,한식,복국,울산복국,울산광역시 남구 달삼로 19 1층 (달동),052-258-0870,
남구,식육(숯불구이),생삼겹살,만푸정솥뚜껑생고기,울산광역시 남구 두왕로324번길 1 지상12층 (신정동),052-266-3303,
남구,한식,전복요리,전복궁,울산광역시 남구 삼산로355번길 20 지상1층 (삼산동),052-267-7274,
남구,일식,보쌈,미강식당,울산광역시 남구 번영로84번길 5 2~3층 (달동),052-258-5552,
남구,키즈카페,막창/삼겹살,할매네대구막창,울산광역시 남구 수암로40번길 18 1층 (신정동),052-252-9870,
남구,한식,삼계탕,문수산상황삼계탕,울산광역시 남구 정동로 139 2층 (삼산동),052-227-2294,
남구,뷔페식,뷔페,신라스테이 울산 카페(cafe),울산광역시 남구 삼산로 200 (달동),052-901-9000,
남구,한식,샤브샤브/샐러드바/스시,산애들수암점,울산광역시 남구 수암로 132 2층 (야음동),052-257-7757,
남구,한식,돼지국밥,수북한 돼지국밥,울산광역시 남구 신복로6번길 16 1층 (무거동),052-256-5656,
남구,한식,오리고기,리스덕,울산광역시 남구 신정로 144 1층 (신정동),052-265-2289,
남구,한식,삼겹살,고반식당 울산삼산점,울산광역시 남구 달삼로 41 1층 (달동),052-269-4555,
남구,식육(숯불구이),소고기숯불구이,(주)언양불고기,울산광역시 남구 월평로 205 12층 (삼산동),052-267-2645,
남구,한식,명태찜/대구뽈찜,온누리,울산광역시 남구 신복로72번길 24-36 2층 (무거동),052-221-2558,
남구,탕류(보신용),옻닭,함양옻닭,울산광역시 남구 왕생로40번길 6 2층 (달동),052-272-5733,
남구,일식,참치회,이감독참치,울산광역시 남구 삼산로355번길 19 (삼산동 지상1층),052-264-3737,
남구,패밀리레스트랑,스테이크,(유)아웃백스테이크하우스코리아삼산점,울산광역시 남구 삼산로 231 울산 센트럴 자이 301~304호 (달동),052-256-1491,
남구,한식,정식,가연장미역국정찬,울산광역시 남구 왕생로 43 1층 (달동),052-227-7738,
남구,기타,뷔페,비앤비펍앤레스토랑,울산광역시 남구 남중로 65 2층 (삼산동),052-922-4000,
남구,한식,낙지볶음,생생낙지,울산광역시 남구 대학로 35-1 1~2층 (무거동),052-212-6666,
남구,한식,국수,미겸당,울산광역시 남구 번영로 234 지상1층 105-1호 (삼산동 팔레드상떼),052-256-6464,
동구,중식,팔보채/탕수육/짬뽕,용궁,울산광역시 동구 방어진순환도로 695 (일산동),052-236-8885,
동구,한식,청국장/강된장,사랑채,울산광역시 동구 번덕로 10 (일산동),052-232-0046,
동구,중식,탕수육/유산슬/볶음면,꽃바위 동해반점,울산광역시 동구 꽃바위3길 63 (방어동),052-201-1912,
동구,일식,초밥/대구탕/코스요리,해송초밥,울산광역시 동구 해수욕장1길 4 (화정동),052-251-8883,
동구,일식,초밥/전복뚝배기/코스요리,나고야 일식,울산광역시 동구 방어진순환도로 683 (일산동),052-233-6009,
동구,한식,탕수육/송이쇠고기덮밥,예원,울산광역시 동구 명덕로 10 (서부동),052-235-2127,
동구,한식,가정식백반등,해와달,울산광역시 동구 동해안로 589 (주전동),052-252-9044,
동구,한식,한식뷔페,외식마을,울산광역시 동구 진성14길 77 (전하동),052-236-5515,
동구,분식,칼국수등,봉창이칼국수,울산광역시 동구 방어진순환도로 899 (서부동),052-250-4570,
동구,한식,해장국등,조마루뼈다귀,울산광역시 동구 방어진순환도로 1141 (서부동),052-252-2221,
동구,한식,낙지전골/불낙전골등,대왕고래,울산광역시 동구 해수욕장9길 46 (일산동1 2층),052-236-8252,
동구,한식,복매운탕/복지리등,일품 복.생아구,울산광역시 동구 미포4길 3 (동부동),052-233-8838,
동구,한식,굴국밥등,굴사랑,울산광역시 동구 등대로 9 (일산동),052-252-4888,
동구,한식,낙지전골/불낙전골등,시골애,울산광역시 동구 등대로 11 (일산동),052-252-9992,
동구,한식,한방오리백숙/한방양념오리,오리궁뎅이,울산광역시 동구 동해안로 600 (주전동),052-234-5252,
동구,한식,부대찌개등,박가 부대찌개,울산광역시 동구 방어진순환도로 674 (일산동),052-201-7730,
동구,한식,삼겹살등,곷돼지,울산광역시 동구 월봉7길 32 (화정동),052-236-9300,
동구,한식,삼겹살/돼지갈비등,황금 참숯화로구이,울산광역시 동구 해수욕장3길 19 (일산동),052-201-6363,
동구,한식,소갈비살/돼지삼겹살,도원,울산광역시 동구 고늘로 6 (일산동),052-252-1113,
동구,한식,오리구이/오리불고기,오리명가고향정,울산광역시 동구 일산진5길 32 (일산동),052-201-3800,
동구,분식,칼국수등,옹심이 칼국수,울산광역시 동구 해수욕장6길 9 (일산동),052-252-5590,
동구,한식,갈비살등,영천한우마을,울산광역시 동구 방어진순환도로 512 (방어동),052-232-2323,
동구,한식,불고기쌈정식,아리아영계백숙삼계탕,울산광역시 동구 일산진5길 25 (일산동(1층)),052-201-1248,
동구,한식,불고기/삼겹살등,금상첨화,울산광역시 동구 해수욕장10길 22 (일산동),052-252-1006,
동구,일식,초밥/우럭탕/코스요리,삿뽀로(일산점),울산광역시 동구 방어진순환도로 662 (일산동 3층),052-236-8777,
동구,한식,불고기/삼겹살,녹돈당,울산광역시 동구 방어진순환도로 662 (일산동 2층),052-236-4777,
동구,한식,토종삼계탕/한방삼계탕등,칠향계원삼계탕,울산광역시 동구 해수욕장7길12 (일산동),052-251-9666,
동구,일식,모듬회등,명품,울산광역시 동구 남진길 63 (방어동),052-201-4040,
동구,분식,막국수/칼국수등,삼교리 동치미 막국수,울산광역시 동구 동해안로 607 (주전동),052-235-3935,
동구,한식,해장국등,조마루뼈다귀,울산광역시 동구 꽃바위로 250 (방어동),052-252-3377,
동구,뷔페,샤브샤브/월남쌈,채선당일산점,울산광역시 동구 일산진3길 21 (일산동),052-232-6660,
동구,양식,피자/파스타등,라온누리,울산광역시 동구 옥류로 57 (동부동),052-251-2510,
동구,중식,탕수육/삼선짬뽕,하림각,울산광역시 동구 해수욕장2길 20 (일산동),052-209-2000,
동구,한식,족발/보쌈,신사동보쌈&족발,울산광역시 동구 보성길10 (일산동),052-252-8686,
동구,한식,쭈꾸미볶음,바보형제쭈꾸미(일산점),울산광역시 동구 해수욕장10길66(일산동),052-988-7789,
동구,한식,부대찌개/철판구이,놀부부대찌개&철판구이(일산점),울산광역시 동구 일산진5길8B동(일산동),052-235-2060,
동구,일식,퓨전뷔페(초밥/샐러드),쿠우쿠우울산동구점,울산광역시 동구 일산진4길19(일산동 3층),052-252-6274,
동구,한식,삼겹살/갈비살,초원정식육식당,울산광역시 동구 보밑길77(주전동),052-233-1515,
동구,한식,오리탕/오리불고기,산청골,울산광역시 동구 진성13길55(전하동),052-233-8680,
동구,한식,돼지갈비/갈비탕,곰솔한우프라자,울산광역시 동구 등대1길7(방어동),052-252-0012,
동구,한식,삼겹살/갈비살,금천마을,울산광역시 동구 등대로40(방어동),052-201-1820,
동구,한식,전복삼계탕/옻닭삼계탕,왕궁삼계탕,울산광역시 동구 방어진순환도로819(전하동),052-251-2818,
동구,한식,불고기정식/자장면/돈까스,한마음식당,울산광역시 동구 바드래1길30(전하동),052-236-5114,
동구,중식,볶음면/삼선짬뽕,동해반점,울산광역시 동구 옥류2길12(서부동),052-209-2588,
동구,중식,짬뽕/탕수육,이비가짬뽕,울산광역시 동구 등대로22(방어동),052-232-3318,
동구,일식,참치회/연어회,토모참치&연어,울산광역시 동구 명덕6길11(서부동),052-236-5652,
동구,한식,삼계탕,일산정 삼계탕,울산광역시 동구 해수욕장3길15(일산동),052-232-3939,
동구,한식,뷔페,메이퀸컨벤션웨딩홀,울산광역시 동구 문현1길15(방어동),052-252-0222,
동구,한식,국밥,순례국밥,울산광역시 동구 남진길80-12(방어동),052-235-7766,
동구,한식,갈비살등,산내암소마을,울산광역시 동구 해수욕장2길13(일산동),052-236-5706,
동구,한식,족발,따신족발,울산광역시 동구 등대로8-10(방어동),052-251-8825,
동구,한식,곰탕,맛있는곰탕이야기,울산광역시 동구 일산진2길26(일산동),052-251-1515,
동구,한식,미역국,오목미역,울산광역시 동구 보성길25(일산동),052-236-5007,
북구,한식,생선회/매운탕,한양횟집,울산광역시 북구 정자1길 87-1 (정자동),052-295-1212,
북구,한식,석쇠불고기/전통국밥,원지원,울산광역시 북구 호계로 45 (창평동),052-295-0467,
북구,한식,멧돼지불고기/바베큐,동해농장식당,울산광역시 북구 무룡로 177 (연암동),052-288-4545,
북구,한식,오리탕/오리불고기,상안가든,울산광역시 북구 동산길 22 (상안동 지상1층),052-295-0593,
북구,한식,돼지국밥/수육,정자가마솥돼지국밥,울산광역시 북구 동해안로 1707 (산하동),052-298-0055,
북구,한식,꿩(샤브쌰브/탕/육회),산마루,울산광역시 북구 원연암2길 96 지상1층 (연암동),052-289-3377,
북구,한식,오리양념불고기/오리탕/오리생소금구이,부자가,울산광역시 북구 동대15길 21 (호계동(지상1층)),052-282-5233,
북구,한식,구이(쇠고기/삼겹살/돼지갈비),마굿간,울산광역시 북구 동대3길 15 (호계동 지상1~2층),052-295-6988,
북구,한식,구이(소등심/소갈비살삼겹돼지갈비),대흥식육숯불생고기,울산광역시 북구 치전2길 3 (양정동),052-288-0616,
북구,한식,삼계탕/고디탕/찜닭,대가야삼계탕,울산광역시 북구 동대20길 6 (호계동),052-295-7095,
북구,한식,해물찜/해물곱창,남해정통해물찜,울산광역시 북구 동대1길 11 (호계동 지상1층),052-282-1225,
북구,한식,보쌈/순두부,명촌순두부보쌈,울산광역시 북구 명촌로 13 (진장동 지상1층),052-283-1300,
북구,한식,대구탕/대구볼찜,충무대구탕,울산광역시 북구 상방2길 19-2 (연암동(1층)),052-288-0919,
북구,한식,생선회/매운탕,월내횟집,울산광역시 북구 동대7길 14 (호계동(1층)),052-292-0752,
북구,경양식,감바스/피자/치킨등,트레비어,울산광역시 북구 명촌로 35 (진장동 지상23층),052-287-5009,
북구,한식,낙지전골/낙지볶음,원조할매낙지와 화타,울산광역시 북구 명촌로 32 2층 (진장동),052-287-0888,
북구,한식,콩나물국밥,시루향기,울산광역시 북구 동대14길 10 다동 1층 (호계동),052-297-9080,
북구,한식,한우국밥/설렁탕,압구정한우국밥명촌점,울산광역시 북구 명촌로 36 (진장동 지상1층),052-288-5358,
북구,한식,낙지전골/불쭈꾸미,대방낙지.불쭈꾸미,울산광역시 북구 명촌로 39 (진장동 지상1층),052-288-0989,
북구,한식,가자미국/가자미조림/파전/미주구리회무침등,가고파,울산광역시 북구 동해안로 1692 (산하동(1층)),052-286-4696,
북구,한식,뼈다귀해장국/감자탕,오남매감자탕명촌점,울산광역시 북구 명촌23길 11 (진장동 지상1층),052-283-0220,
북구,한식,장어구이,배내골참민물장어,울산광역시 북구 명촌3길 7-1 (진장동 지상1층),052-288-5800,
북구,한식,돌판아구불고기/돌판아구찜,번지농장,울산광역시 북구 명촌23길 7 (진장동 지상1층),052-289-8088,
북구,한식,보쌈/오리불고기,마늘보쌈,울산광역시 북구 명촌8길 19 (명촌동 지상1층),052-289-9252,
북구,한식,누룽지백숙/유황오리훈제,본가장수촌,울산광역시 북구 명촌6길 34 (진장동 지상1층),052-287-8200,
북구,한식,자연산회,강동회수산,울산광역시 북구 명촌7길 32 (명촌동 지상1층),052-289-3387,
북구,일식,참치/참가자미회,해초,울산광역시 북구 명촌23길 18 (진장동 지상1층),052-283-0029,
북구,중식,면류/탕수육등,동해반점,울산광역시 북구 동대중앙로 43 (호계동(지상1층)),052-286-1912,
북구,한식,아구찜/해물찜갈비찜,몽중해아구찜,울산광역시 북구 명촌23길 6 (명촌동 지상1층),052-288-7774,
북구,한식,복매운탕복지리,어전생복집,울산광역시 북구 명촌5길 27 지상1층 103호 (진장동),052-288-5372,
북구,한식,오리탕/오리불고기,감나무집(명촌점),울산광역시 북구 명촌12길 32 (명촌동 지상1층),052-273-5292,
북구,경양식,스파게티/피자,cafe제이드dining,울산광역시 북구 동해안로 1586 (산하동(12층)),052-298-6644,
북구,한식,돼지목살구이/오겹살구이,멋진녀석들명촌점,울산광역시 북구 명촌15길 5-9 1층 (명촌동),052-289-2929,
북구,한식,생선회생새우조개구이,바다바라기,울산광역시 북구 정자1길 111 (정자동),052-282-8866,
북구,한식,오리얌념불고기훈제,오방촌,울산광역시 북구 명촌15길 4 (명촌동),052-289-5245,
북구,한식,회/매운탕,가미횟집,울산광역시 북구 명촌23길 53 (명촌동 1층),052-288-8812,
북구,분식,비빔국수/칼국수,손영환비빔국수칼국수,울산광역시 북구 진장유통로 46 (진장동 1층),052-289-7891,
북구,한식,돼지갈비/소/돼지숯불구이,코뚜레,울산광역시 북구 신답1길 9 (상안동 지상2층),052-295-1988,
북구,한식,감자탕/뼈해장국/해물뼈찜,맛나감자탕천곡점,울산광역시 북구 달천로 11 (천곡동 지상2층),052-297-1919,
북구,한식,소고기구이/육회비빔밥/돼기고기구이,도드람마을구이촌,울산광역시 북구 매곡로 89 (매곡동 지상12층),052-293-9922,
울주군,한식,한우불고기,중앙암소숯불식당,울산광역시 울주군 두동면 두동로 1827,052-262-9028,
울주군,한식,한우불고기,정원숯불구이,울산광역시 울주군 두동면 두동로 1840,052-262-7404,
울주군,분식,칼국수,옹심이칼국수,울산광역시 울주군 범서읍 두동로 229,052-257-2529,
울주군,한식,쭈꾸미볶음,종로쭈꾸미굴화점,울산광역시 울주군 범서읍 백천1길 64,052-224-9596,
울주군,한식,오리불고기,고당운집,울산광역시 울주군 범서읍 새밭등길 36,052-211-3131,
울주군,한식,정식,예향정(무거점),울산광역시 울주군 범서읍 장검길 69-23,052-223-7222,
울주군,한식,추어탕,유승추어탕,울산광역시 울주군 범서읍 천상3길 10-2,052-211-1822,
울주군,한식,한우불고기,갈비구락부,울산광역시 울주군 삼남면 남상평2길 34-12,052-264-4747,
울주군,한식,한우불고기,언양암소불고기,울산광역시 울주군 삼남면 봉화로 14,052-263-1478,
울주군,한식,한우불고기,신토불이 숯불고기,울산광역시 울주군 삼남면 봉화로 5,052-263-2666,
울주군,한식,오리불고기,조금마루,울산광역시 울주군 삼남면 서상평강변길 9,052-263-7060,
울주군,한식,한우불고기,언양진미불고기,울산광역시 울주군 삼남면 중평로 33,052-262-4422,
울주군,한식,아구찜,보라가든,울산광역시 울주군 삼동면 삼동로 580,052-254-0367,
울주군,한식,오리불고기,청수골식당,울산광역시 울주군 상북면 궁근정2길 3,052-264-5252,
울주군,한식,오리불고기,박서방,울산광역시 울주군 상북면 등억알프스로 375,052-263-4772,
울주군,한식,두부전골,선혜미가,울산광역시 울주군 상북면 상북로 304,052-263-5502,
울주군,한식,한정식,다래정식,울산광역시 울주군 상북면 석남로 844,052-254-2248,
울주군,한식,복국,금장생복집,울산광역시 울주군 서생면 당물길 33,052-239-5638,
울주군,한식,곰장어구이,김양집,울산광역시 울주군 서생면 신암해안길 13,052-239-5539,
울주군,일식,생선회,일출횟집,울산광역시 울주군 서생면 진하해변길 62,052-238-0365,
울주군,일식,일본식라면,히노아지 간절곶점,울산광역시 울주군 서생면 해맞이로 1130,052-238-1607,
울주군,한식,보리밥/칼국수,보광보리밥칼국수,울산광역시 울주군 서생면 해맞이로 787,052-239-5562,
울주군,한식,오리불고기,대덕화,울산광역시 울주군 서생면 화산마을1길 50,052-238-3007,
울주군,한식,누룽지백숙,해돋이,울산광역시 울주군 언양읍 읍성로 95,052-262-3291,
울주군,한식,흑염소요리,알프스염소,울산광역시 울주군 언양읍 정거고중길 2-27,052-224-3300,
울주군,한식,한우불고기,공원불고기,울산광역시 울주군 언양읍 헌양길 32,052-262-0421,
울주군,한식,한우불고기,언양기와집불고기,울산광역시 울주군 언양읍 헌양길 86,052-262-4884,
울주군,한식,한우불고기,가지산언양불고기,울산광역시 울주군 언양읍 헌양길 96,052-254-5899,
울주군,한식,보쌈,원할머니보쌈/족발/박가부대찌개,울산광역시 울주군 온산읍 덕남로 58,052-237-7766,
울주군,한식,오리불고기,대운터,울산광역시 울주군 온산읍 덕동1길 5,052-238-5289,
울주군,한식,정식,텃밭,울산광역시 울주군 온양읍 동상로 241,052-276-9411,
울주군,한식,한정식,발리동천,울산광역시 울주군 온양읍 선양골길 105-16,052-237-1634,
울주군,한식,아구찜,대대 찹쌀아구찜,울산광역시 울주군 웅촌면 상대길 52-15,052-247-7799,
울주군,한식,오리탕,원터가든,울산광역시 울주군 웅촌면 웅촌로 642-9,052-225-3277,
울주군,한식,추어탕,정수장추어탕,울산광역시 울주군 청량면 대복동천로 790-2,052-268-2622,
울주군,한식,황태정식,진부령황태,울산광역시 울주군 청량면 상보두현길 53-1,052-224-7127,
울주군,한식,명태찜,도담,울산광역시 울주군 청량면 웅촌로 1231-4,052-249-6849,
